Published Rates,,,,,,Sequestration Reduction Applied,,,,
CPT,Final National ASC Rate,Final Local ASC Rate,Local Medicare Pays,Local Patient,,CPT,Final National ASC Rate,Final Local ASC Rate,Local Medicare Pays,Local Patient
21198,1027.11,1027.11,821.688,205.422,,21198,1010.67624,1010.67624,805.25424,205.422
21199,1969.21,1969.21,1575.368,393.842,,21199,1937.70264,1937.70264,1543.86064,393.842
21206,1969.21,1969.21,1575.368,393.842,,21206,1937.70264,1937.70264,1543.86064,393.842
21208,1969.21,1969.21,1575.368,393.842,,21208,1937.70264,1937.70264,1543.86064,393.842
21209,1969.21,1969.21,1575.368,393.842,,21209,1937.70264,1937.70264,1543.86064,393.842
21210,1969.21,1969.21,1575.368,393.842,,21210,1937.70264,1937.70264,1543.86064,393.842
21215,1969.21,1969.21,1575.368,393.842,,21215,1937.70264,1937.70264,1543.86064,393.842
21230,1969.21,1969.21,1575.368,393.842,,21230,1937.70264,1937.70264,1543.86064,393.842
21235,672.75,672.75,538.2,134.55,,21235,661.986,661.986,527.436,134.55
21240,1969.21,1969.21,1575.368,393.842,,21240,1937.70264,1937.70264,1543.86064,393.842
21242,1969.21,1969.21,1575.368,393.842,,21242,1937.70264,1937.70264,1543.86064,393.842
21243,1969.21,1969.21,1575.368,393.842,,21243,1937.70264,1937.70264,1543.86064,393.842
21244,1969.21,1969.21,1575.368,393.842,,21244,1937.70264,1937.70264,1543.86064,393.842
21245,1969.21,1969.21,1575.368,393.842,,21245,1937.70264,1937.70264,1543.86064,393.842
21246,1969.21,1969.21,1575.368,393.842,,21246,1937.70264,1937.70264,1543.86064,393.842
21248,1969.21,1969.21,1575.368,393.842,,21248,1937.70264,1937.70264,1543.86064,393.842
21249,1969.21,1969.21,1575.368,393.842,,21249,1937.70264,1937.70264,1543.86064,393.842
21260,1969.21,1969.21,1575.368,393.842,,21260,1937.70264,1937.70264,1543.86064,393.842
21267,1969.21,1969.21,1575.368,393.842,,21267,1937.70264,1937.70264,1543.86064,393.842
21270,1969.21,1969.21,1575.368,393.842,,21270,1937.70264,1937.70264,1543.86064,393.842
21275,1969.21,1969.21,1575.368,393.842,,21275,1937.70264,1937.70264,1543.86064,393.842
21280,1969.21,1969.21,1575.368,393.842,,21280,1937.70264,1937.70264,1543.86064,393.842
21282,672.75,672.75,538.2,134.55,,21282,661.986,661.986,527.436,134.55
21295,301.15,301.15,240.92,60.23,,21295,296.3316,296.3316,236.1016,60.23
21296,1027.11,1027.11,821.688,205.422,,21296,1010.67624,1010.67624,805.25424,205.422
21310,46.47,46.47,37.176,9.294,,21310,45.72648,45.72648,36.43248,9.294
21315,301.15,301.15,240.92,60.23,,21315,296.3316,296.3316,236.1016,60.23
21320,672.75,672.75,538.2,134.55,,21320,661.986,661.986,527.436,134.55
21325,1027.11,1027.11,821.688,205.422,,21325,1010.67624,1010.67624,805.25424,205.422
21330,1027.11,1027.11,821.688,205.422,,21330,1010.67624,1010.67624,805.25424,205.422
21335,1027.11,1027.11,821.688,205.422,,21335,1010.67624,1010.67624,805.25424,205.422
21336,1111.58,1111.58,889.264,222.316,,21336,1093.79472,1093.79472,871.47872,222.316
21337,672.75,672.75,538.2,134.55,,21337,661.986,661.986,527.436,134.55
21338,1969.21,1969.21,1575.368,393.842,,21338,1937.70264,1937.70264,1543.86064,393.842
21339,1027.11,1027.11,821.688,205.422,,21339,1010.67624,1010.67624,805.25424,205.422
21340,1969.21,1969.21,1575.368,393.842,,21340,1937.70264,1937.70264,1543.86064,393.842
21345,1027.11,1027.11,821.688,205.422,,21345,1010.67624,1010.67624,805.25424,205.422
21355,1969.21,1969.21,1575.368,393.842,,21355,1937.70264,1937.70264,1543.86064,393.842
21356,1027.11,1027.11,821.688,205.422,,21356,1010.67624,1010.67624,805.25424,205.422
21360,1969.21,1969.21,1575.368,393.842,,21360,1937.70264,1937.70264,1543.86064,393.842
21390,1969.21,1969.21,1575.368,393.842,,21390,1937.70264,1937.70264,1543.86064,393.842
21400,301.15,301.15,240.92,60.23,,21400,296.3316,296.3316,236.1016,60.23
21401,301.15,301.15,240.92,60.23,,21401,296.3316,296.3316,236.1016,60.23
21406,1969.21,1969.21,1575.368,393.842,,21406,1937.70264,1937.70264,1543.86064,393.842
21407,1969.21,1969.21,1575.368,393.842,,21407,1937.70264,1937.70264,1543.86064,393.842
21421,1969.21,1969.21,1575.368,393.842,,21421,1937.70264,1937.70264,1543.86064,393.842
21440,452.44,452.44,361.952,90.488,,21440,445.20096,445.20096,354.71296,90.488
21445,1969.21,1969.21,1575.368,393.842,,21445,1937.70264,1937.70264,1543.86064,393.842
21450,144.23,144.23,115.384,28.846,,21450,141.92232,141.92232,113.07632,28.846
21451,672.75,672.75,538.2,134.55,,21451,661.986,661.986,527.436,134.55
21452,672.75,672.75,538.2,134.55,,21452,661.986,661.986,527.436,134.55
21453,1969.21,1969.21,1575.368,393.842,,21453,1937.70264,1937.70264,1543.86064,393.842
21454,1969.21,1969.21,1575.368,393.842,,21454,1937.70264,1937.70264,1543.86064,393.842
21461,1969.21,1969.21,1575.368,393.842,,21461,1937.70264,1937.70264,1543.86064,393.842
21462,1969.21,1969.21,1575.368,393.842,,21462,1937.70264,1937.70264,1543.86064,393.842
21465,1969.21,1969.21,1575.368,393.842,,21465,1937.70264,1937.70264,1543.86064,393.842
21480,46.47,46.47,37.176,9.294,,21480,45.72648,45.72648,36.43248,9.294
21485,1027.11,1027.11,821.688,205.422,,21485,1010.67624,1010.67624,805.25424,205.422
21490,1969.21,1969.21,1575.368,393.842,,21490,1937.70264,1937.70264,1543.86064,393.842
21495,672.75,672.75,538.2,134.55,,21495,661.986,661.986,527.436,134.55
21497,301.15,301.15,240.92,60.23,,21497,296.3316,296.3316,236.1016,60.23
21501,867.01,867.01,693.608,173.402,,21501,853.13784,853.13784,679.73584,173.402
21502,905.46,905.46,724.368,181.092,,21502,890.97264,890.97264,709.88064,181.092
21550,633.26,633.26,506.608,126.652,,21550,623.12784,623.12784,496.47584,126.652
21552,959.3,959.3,767.44,191.86,,21552,943.9512,943.9512,752.0912,191.86
21554,959.3,959.3,767.44,191.86,,21554,943.9512,943.9512,752.0912,191.86
21555,633.26,633.26,506.608,126.652,,21555,623.12784,623.12784,496.47584,126.652
21556,959.3,959.3,767.44,191.86,,21556,943.9512,943.9512,752.0912,191.86
21557,633.26,633.26,506.608,126.652,,21557,623.12784,623.12784,496.47584,126.652
21558,959.3,959.3,767.44,191.86,,21558,943.9512,943.9512,752.0912,191.86
21600,1422.98,1422.98,1138.384,284.596,,21600,1400.21232,1400.21232,1115.61632,284.596
21610,1422.98,1422.98,1138.384,284.596,,21610,1400.21232,1400.21232,1115.61632,284.596
21685,1027.11,1027.11,821.688,205.422,,21685,1010.67624,1010.67624,805.25424,205.422
21700,905.46,905.46,724.368,181.092,,21700,890.97264,890.97264,709.88064,181.092
21720,905.46,905.46,724.368,181.092,,21720,890.97264,890.97264,709.88064,181.092
21725,88.2,88.2,70.56,17.64,,21725,86.7888,86.7888,69.1488,17.64
21800,59.76,59.76,47.808,11.952,,21800,58.80384,58.80384,46.85184,11.952
21805,1111.58,1111.58,889.264,222.316,,21805,1093.79472,1093.79472,871.47872,222.316
21820,59.76,59.76,47.808,11.952,,21820,58.80384,58.80384,46.85184,11.952
